LINE 401 : 2022-08-10 23:29:40,986 [INFO    ] Connecting to Enrichr Server to get latest library names
LINE 430 : 2022-08-10 23:29:41,247 [INFO    ] Save file of enrichment results: Job Id:1931184654912
LINE 1329: 2022-08-10 23:29:46,247 [DEBUG   ] findfont: Matching sans\-serif:style=normal:variant=normal:weight=bold:stretch=normal:size=24.0.
LINE 1341: 2022-08-10 23:29:46,263 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Users\\Mujtaba Barci\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
LINE 1341: 2022-08-10 23:29:46,263 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Users\\Mujtaba Barci\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmtt10.ttf', name='cmtt10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
LINE 1341: 2022-08-10 23:29:46,263 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Users\\Mujtaba Barci\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSans.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 4.335
LINE 1341: 2022-08-10 23:29:46,263 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Users\\Mujtaba Barci\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymReg.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
LINE 1341: 2022-08-10 23:29:46,263 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Users\\Mujtaba Barci\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
LINE 1341: 2022-08-10 23:29:46,263 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Users\\Mujtaba Barci\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.335
LINE 1341: 2022-08-10 23:29:46,263 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Users\\Mujtaba Barci\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.05
LINE 1341: 2022-08-10 23:29:46,263 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Users\\Mujtaba Barci\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
LINE 1341: 2022-08-10 23:29:46,263 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Users\\Mujtaba Barci\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.05
LINE 1341: 2022-08-10 23:29:46,263 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Users\\Mujtaba Barci\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.05
LINE 1341: 2022-08-10 23:29:46,263 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Users\\Mujtaba Barci\\anaconda3\\lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.05
LINE 1341: 2022-08-10 23:29:46,263 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\calibri.ttf', name='Calibri', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
LINE 1341: 2022-08-10 23:29:46,263 [DEBUG   ] findfont: score(FontEntry(fname='C:\\Windows\\Fonts\\majalla.ttf', name='Sakkal Majalla', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
LINE 1341: 2022-08-10 23:29:46,263 [DEBUG   ] findfont: score(FontEntry(fname='C:\\WINDOWS\\Fonts\\seguihis.ttf', name='Segoe UI Historic', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.335
